epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1869.07,1.12992,1.4624,1.49802,0.43824,0.49423,0.44517,0.29571,1.44316,2.05196,1.81489,0.000424187,0.000424187,0.000424187
43,1916.13,1.10792,1.45334,1.47809,0.46985,0.4631,0.44827,0.3006,1.45584,2.04869,1.82076,0.000417119,0.000417119,0.000417119
44,1963.69,1.10397,1.4719,1.4666,0.49237,0.44491,0.44908,0.3144,1.41161,2.10369,1.73698,0.00041005,0.00041005,0.00041005
45,2013.07,1.18234,1.53119,1.52236,0.44017,0.43862,0.40927,0.28696,1.427,2.2131,1.75828,0.000402982,0.000402982,0.000402982
46,2067.14,1.12279,1.4339,1.46763,0.38747,0.46166,0.39219,0.27181,1.42417,2.24669,1.76244,0.000395913,0.000395913,0.000395913
47,2113.88,1.10265,1.41379,1.44225,0.41263,0.4567,0.39782,0.27333,1.42676,2.29366,1.7676,0.000388844,0.000388844,0.000388844
48,2160.64,1.10945,1.43363,1.485,0.49802,0.49165,0.42702,0.29614,1.43491,2.04571,1.7634,0.000381776,0.000381776,0.000381776
49,2206.93,1.07053,1.34878,1.43211,0.48275,0.50717,0.43467,0.30933,1.39233,1.94241,1.71985,0.000374707,0.000374707,0.000374707
50,2253.28,1.07132,1.31484,1.42447,0.45431,0.53744,0.43547,0.30413,1.37595,1.9127,1.71376,0.000367639,0.000367639,0.000367639
51,2301.15,1.06399,1.34633,1.45653,0.42796,0.53819,0.43406,0.29874,1.34359,1.86868,1.69039,0.00036057,0.00036057,0.00036057
52,2348.48,1.07042,1.2844,1.40943,0.48223,0.46264,0.45593,0.32628,1.27125,1.82405,1.63452,0.000353501,0.000353501,0.000353501
53,2394.83,1.06906,1.32938,1.4712,0.45282,0.58056,0.48681,0.34631,1.22915,1.78909,1.60658,0.000346433,0.000346433,0.000346433
54,2441.75,1.08147,1.30495,1.43548,0.44442,0.60306,0.48262,0.33746,1.26383,1.81936,1.63496,0.000339364,0.000339364,0.000339364
55,2488.69,1.06343,1.32817,1.43399,0.44004,0.61975,0.47448,0.31872,1.29959,1.885,1.66219,0.000332296,0.000332296,0.000332296
56,2535.59,1.07923,1.30071,1.46605,0.45821,0.64288,0.4548,0.3038,1.31341,1.90499,1.67866,0.000325227,0.000325227,0.000325227
57,2583.34,1.04268,1.23471,1.40487,0.48074,0.60597,0.47628,0.314,1.32584,1.85325,1.68996,0.000318158,0.000318158,0.000318158
58,2629.57,1.0175,1.215,1.40967,0.47033,0.60342,0.49414,0.33095,1.31804,1.82598,1.6824,0.00031109,0.00031109,0.00031109
59,2676.39,1.02627,1.28699,1.39362,0.46281,0.5634,0.48277,0.32368,1.34267,1.85055,1.69411,0.000304021,0.000304021,0.000304021
60,2722.96,1.02453,1.25584,1.39692,0.44211,0.51187,0.4397,0.29671,1.39548,1.91912,1.74032,0.000296953,0.000296953,0.000296953
61,2771.32,1.01775,1.2226,1.38311,0.41663,0.53562,0.42703,0.28561,1.38579,1.96581,1.73953,0.000289884,0.000289884,0.000289884
62,2826.78,0.99794,1.21158,1.36491,0.39698,0.52828,0.41771,0.28258,1.35465,2.01871,1.71,0.000282815,0.000282815,0.000282815
63,2886.92,1.0515,1.26034,1.44837,0.43669,0.54968,0.43806,0.30123,1.34186,1.97632,1.69399,0.000275747,0.000275747,0.000275747
64,2938.54,1.03971,1.26184,1.44036,0.45696,0.6082,0.4788,0.31924,1.36628,1.88466,1.69283,0.000268678,0.000268678,0.000268678
65,2991.34,1.04595,1.16881,1.40033,0.45849,0.60331,0.48461,0.31888,1.37039,1.87033,1.69045,0.00026161,0.00026161,0.00026161
66,3044.33,0.97775,1.21907,1.39423,0.4464,0.5914,0.46798,0.31228,1.34881,1.85746,1.67035,0.000254541,0.000254541,0.000254541
67,3097.42,0.96469,1.18884,1.38008,0.45532,0.59637,0.4746,0.32201,1.32657,1.84255,1.65132,0.000247472,0.000247472,0.000247472
68,3150.23,0.97467,1.18743,1.38966,0.45675,0.59073,0.46592,0.30445,1.3297,1.8771,1.66505,0.000240404,0.000240404,0.000240404
